FinCEN: Core Based Statistical Area (CBSA) Subjects Reported in Recent* MLF SARs (Subjects Per Million Population),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,Header
"Albany-Schenectady-Troy, NY",10580,22.4,18.9,15.3,25.9,32.9,25.9,44.6,42.3,51.6,41.1,66.7,43.3,21.1,25.8,30.3,28.0,8.2,4.7,5.8,8.2,3.5,0.0,18.7,14.0,8.0,6.9,Data
"Omaha-Council Bluffs, NE-IA",36540,21.0,22.2,15.9,29.3,30.5,40.2,19.3,36.2,19.3,21.7,13.1,42.9,20.3,19.1,12.9,21.2,14.1,20.0,11.8,11.8,5.9,1.2,10.6,7.1,5.8,4.6,Data
"New Haven-Milford, CT",35300,9.5,31.0,17.8,23.8,40.4,38.0,48.6,45.0,79.4,52.2,44.9,23.7,39.0,43.8,47.2,42.5,10.6,25.9,24.8,16.5,15.3,1.2,18.9,7.1,10.4,11.6,Data
"Dayton, OH",19380,33.2,35.6,45.2,30.9,35.6,77.2,46.5,38.1,45.3,33.4,15.5,37.0,16.7,23.9,31.1,29.9,19.2,25.1,9.6,10.8,3.6,7.2,9.6,13.2,7.1,0.0,Data
"Bakersfield, CA",12540,26.8,32.1,53.4,79.4,97.6,147.1,187.3,116.0,263.8,146.6,112.9,168.1,149.3,165.6,164.7,152.3,22.3,16.1,37.2,40.9,18.6,17.3,14.9,13.6,6.0,33.3,Data
"Oxnard-Thousand Oaks-Ventura, CA",37100,59.8,76.3,52.0,57.1,88.8,99.0,143.1,131.7,198.8,246.9,198.8,202.6,140.9,183.7,130.8,206.7,39.9,54.8,33.6,56.0,27.4,56.0,36.1,27.4,21.9,43.7,Data
"Allentown-Bethlehem-Easton, PA-NJ",10900,20.4,17.8,12.6,22.6,22.6,37.7,21.1,16.1,28.6,47.2,35.7,28.3,19.7,38.2,42.9,41.7,15.9,15.9,13.5,14.7,8.6,7.4,11.0,15.9,11.0,9.7,Data
"Baton Rouge, LA",12940,23.3,23.3,5.2,13.1,32.7,34.0,46.6,23.3,42.7,32.4,21.8,43.6,37.2,30.8,44.5,20.3,15.2,12.7,15.2,2.5,6.4,5.1,3.8,11.4,13.7,10.0,Data
"El Paso, TX",21340,4.2,18.3,13.9,15.3,13.9,6.9,26.1,19.2,34.3,26.1,17.6,16.3,16.3,10.8,21.3,29.3,8.0,10.6,6.7,9.3,16.0,4.0,8.0,16.0,16.2,5.0,Data
"Worcester, MA",49340,19.1,24.1,26.5,32.8,40.4,36.6,57.8,38.9,59.0,60.3,45.0,51.3,35.0,32.5,39.8,29.9,13.7,5.0,17.4,3.7,12.4,1.2,0.0,14.9,11.3,10.0,Data
"McAllen-Edinburg-Mission, TX",32580,9.0,18.0,21.9,11.7,19.0,21.9,28.5,57.0,28.5,25.6,29.1,27.7,13.9,27.7,21.6,14.8,9.4,14.8,13.5,14.8,4.0,2.7,12.1,6.7,0.0,5.2,Data
